filename,current_title,visual_template,shared_elements,css_rules,target_workspace,target_route,migration_status,visual_preservation,technical_corrections
spenden.html,EPD² — Spenden & Mitgliedsbeiträge,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
struktur/abstimmungen.html,EPD² — Parteitage & Abstimmungen,public,header;navigation;footer,../core.css,WS-01,/foundation/examples/table,representative_migrated,yes,semantic/accessibility/responsive/status corrections only
struktur/digitales-buero.html,EPD² — Digitale Bürgerbüros,public,header;navigation;footer,../core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
struktur/kandidaten-abgeordnete.html,EPD² — Kandidaten & Abgeordnete,public,header;navigation;footer,../core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
struktur/landesverbaende.html,EPD² — Landesverbände,public,header;navigation;footer,../core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
struktur/regionalverbaende.html,EPD² — Regional- und Ortsverbände,public,header;navigation;footer,../core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
struktur/vorstand.html,EPD² — Bundesvorstand,public,header;navigation;footer,../core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
struktur.html,EPD² — Struktur der Partei,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
system.html,System | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
technology.html,technology | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
transparenz/abgeordnetentisch.html,EPD² — Abgeordnetentisch,publication,header;navigation;cards;footer,../core.css,WS-10,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
transparenz/beteiligung.html,EPD² — Mitglieder & Beteiligung,publication,header;navigation;footer,../core.css,WS-10,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
transparenz/finanzen.html,EPD² — Finanzen,publication,header;navigation;footer,../core.css,WS-10,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
transparenz/ki-log.html,EPD² — KI-Protokolle,publication,header;navigation;footer,../core.css,WS-10,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
transparenz/ledger.html,EPD² — Entscheidungsdokumentation,publication,header;navigation;footer,../core.css,WS-10,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
transparenz/lobbying-log.html,EPD² — Lobbying-Log,publication,header;navigation;footer,../core.css,WS-10,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
transparenz/protokolle.html,EPD² — Entscheidungsprotokolle,publication,header;navigation;footer,../core.css,WS-10,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
transparenz.html,EPD² — Transparenz,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
ueber-uns.html,EPD² — Über uns,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
verfassungsbeirat.html,verfassungsbeirat | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
verifizierung.html,EPD² — Mitglied werden,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
warteliste.html,EPD² — Warteliste,public,header;navigation;cards;footer,core.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
werkstatt.html,werkstatt | EPD²,public,header;navigation;cards;footer,assets/css/style.css,WS-01,per authoritative route map,preserved_not_migrated,yes,inventory only; future block decides migration
