capability_id,status,dependency_class,owner,missing_dependency,frontend_behaviour,security_finding
deviation_record_write,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-29 representative-desk-service (unaccepted),an accepted executable route recording a deviation against a governed decision,"The composition surface exists and enforces the record's shape locally, including the requirement that a deviation references a decision and cannot alter it. Nothing is transmitted.",
deviation_decision_reference,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-16 / decision runtime,an accepted executable route resolving a governed decision identifier to its published record,References are accepted as opaque text and explicitly marked unverified. The workspace does not claim a reference is valid.,
declaration_read,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-09 compliance-service,an accepted executable route returning a representative's own declarations,Unavailable state with the named dependency.,
declaration_submission,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-09 compliance-service,an accepted executable route accepting a declaration submission,"The form validates locally and reports the submission blocked. It never reports acceptance, and it never asserts a compliance obligation has been met.",
publication_proposal_submission,BLOCKED_BY_DEPENDENCY,SECURITY_SENSITIVE_BOUNDARY,PACK-13 transparency-service,"a server-authoritative proposal and authorization contract: a proposal state distinct from PUBLISHED, and an authorization decided by the server rather than asserted by the caller","The workspace offers proposal composition only, states in the interface that a proposal is not an approval, and reports submission blocked. It never sets, sends or relies on an authorization flag of its own.","A caller-supplied actor_is_authorized boolean is a self-asserted authorization: the caller declares its own permission and the service accepts the declaration. FRONT-05 must not treat it as evidence that any authorization occurred, and must not build a privileged path on it â doing so would let a proposal reach publication carrying nothing but the proposer's own claim of being allowed to publish. This is a defect in the dependency, not a gap in it: the capability stays blocked until a server-authoritative authorization contract exists, and would remain blocked even if a proposal route were added while the boolean stayed."
publication_state_observation,BLOCKED_BY_DEPENDENCY,SECURITY_SENSITIVE_BOUNDARY,PACK-13 transparency-service,a route returning a publication state whose approval was decided by an authority other than the proposer,"Publication state is shown as unknown rather than assumed, and an approved state is presented as public only when a deciding authority and a public rendition reference are both present.","An observed publication state carries no independent evidence of who approved it, because the service records no deciding authority. A state read back from such a service cannot distinguish an approval by the publication authority from one the proposer asserted about itself, so this workspace treats an approved state with no recorded decider as not public â see mayPresentAsPublic in domain/publication.ts."
conflict_restriction_read,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-09 compliance-service,an accepted executable route returning active conflict restrictions for a mandate,"Restrictions cannot be read, so the workspace fails closed: it neither asserts that a restriction is absent nor treats an unknown restriction as cleared.",
conflict_restriction_change,UNSUPPORTED,PROHIBITED,"Conflict officer role, outside WS-04","not applicable â the capability is prohibited for this workspace, not merely blocked","No surface, no action descriptor, and no port exists. The prohibition is enforced by absence and asserted by a total function returning false.",
registry_read_reference,BLOCKED_BY_DEPENDENCY,ABSENT,PACK-20 / PACK-09 registers (unaccepted or specification-level),an accepted executable read route over a protected register,Registry-derived facts are shown as unavailable. No registry mutation surface exists at all.,
eligibility_status_display,BLOCKED_BY_DEPENDENCY,ABSENT,"Eligibility authority, outside WS-04",an accepted executable route returning a decided eligibility status,"Eligibility is displayed as undetermined-elsewhere, with the explicit statement that this workspace does not decide it.",
audit_trail_read,BLOCKED_BY_DEPENDENCY,ABSENT,CTRL / governed control plane (NOT_STARTED),any control-plane implementation whatsoever,"The workspace states that its own actions are not currently audited by an accepted control plane, which is a limitation the operator must know.",
telemetry_emission,BLOCKED_BY_DEPENDENCY,ABSENT,Platform telemetry (not connected),a connected accepted telemetry platform,No telemetry leaves the browser. The validator asserts the allowlist is enforced and that case content can never enter an event.,
local_refusal_rendering,SUPPORTED_REAL_PATH,ABSENT,FRONT-05 / WS-04,,"Every refusal kind renders a safe message, a committed/not-committed/unknown statement, and one safe next action, with non-disclosure preserved where required.",
local_scope_binding,SUPPORTED_REAL_PATH,ABSENT,FRONT-05 / WS-04,,"There is no representation of an unbounded scope in the type system, so a cross-mandate request has no expressible form.",
governed_fallback,SUPPORTED_REAL_PATH,ABSENT,FRONT-05 / WS-04,,"Each blocked surface names the offline route that remains valid, so no citizen matter is dropped because the software is unfinished.",
